Province,District Code,District,District RegEx
Hà Nội,1,Ba Đình,
Hà Nội,2,Hoàn Kiếm,
Hà Nội,3,Tây Hồ,
Hà Nội,4,Long Biên,
Hà Nội,5,Cầu Giấy,
Hà Nội,6,Đống Đa,
Hà Nội,7,Hai Bà Trưng,
Hà Nội,8,Hoàng Mai,
Hà Nội,9,Thanh Xuân,
Hà Nội,16,Sóc Sơn,
Hà Nội,17,Đông Anh,
Hà Nội,18,Gia Lâm,
Hà Nội,19,Nam Từ Liêm,
Hà Nội,20,Thanh Trì,
Hà Nội,21,Bắc Từ Liêm,
Hà Nội,250,Mê Linh,
Hà Nội,268,Hà Đông,
Hà Nội,269,Sơn Tây,
Hà Nội,271,Ba Vì,
Hà Nội,272,Phúc Thọ,
Hà Nội,273,Đan Phượng,
Hà Nội,274,Hoài Đức,
Hà Nội,275,Quốc Oai,
Hà Nội,276,Thạch Thất,
Hà Nội,277,Chương Mỹ,
Hà Nội,278,Thanh Oai,
Hà Nội,279,Thường Tín,
Hà Nội,280,Phú Xuyên,
Hà Nội,281,Ứng Hòa,Ứng Hoà
Hà Nội,282,Mỹ Đức,
Hà Giang,24,Hà Giang,
Hà Giang,26,Đồng Văn,
Hà Giang,27,Mèo Vạc,
Hà Giang,28,Yên Minh,
Hà Giang,29,Quản Bạ,
Hà Giang,30,Vị Xuyên,
Hà Giang,31,Bắc Mê,
Hà Giang,32,Hoàng Su Phì,
Hà Giang,33,Xín Mần,
Hà Giang,34,Bắc Quang,
Hà Giang,35,Quang Bình,
Cao Bằng,40,Cao Bằng,
Cao Bằng,42,Bảo Lâm,
Cao Bằng,43,Bảo Lạc,
Cao Bằng,45,Hà Quảng,
Cao Bằng,47,Trùng Khánh,
Cao Bằng,48,Hạ Lang,
Cao Bằng,49,Quảng Hòa,
Cao Bằng,51,Hoà An,
Cao Bằng,52,Nguyên Bình,
Cao Bằng,53,Thạch An,
Bắc Kạn,58,Bắc Kạn,
Bắc Kạn,60,Pác Nặm,
Bắc Kạn,61,Ba Bể,
Bắc Kạn,62,Ngân Sơn,
Bắc Kạn,63,Bạch Thông,
Bắc Kạn,64,Chợ Đồn,
Bắc Kạn,65,Chợ Mới,
Bắc Kạn,66,Na Rì,
Tuyên Quang,70,Tuyên Quang,
Tuyên Quang,71,Lâm Bình,
Tuyên Quang,72,Na Hang,
Tuyên Quang,73,Chiêm Hóa,
Tuyên Quang,74,Hàm Yên,
Tuyên Quang,75,Yên Sơn,
Tuyên Quang,76,Sơn Dương,
Lào Cai,80,Lào Cai,
Lào Cai,82,Bát Xát,
Lào Cai,83,Mường Khương,
Lào Cai,84,Si Ma Cai,
Lào Cai,85,Bắc Hà,
Lào Cai,86,Bảo Thắng,
Lào Cai,87,Bảo Yên,
Lào Cai,88,Sa Pa,
Lào Cai,89,Văn Bàn,
Điện Biên,94,Điện Biên Phủ,
Điện Biên,95,Mường Lay,
Điện Biên,96,Mường Nhé,
Điện Biên,97,Mường Chà,
Điện Biên,98,Tủa Chùa,
Điện Biên,99,Tuần Giáo,
Điện Biên,100,Điện Biên,
Điện Biên,101,Điện Biên Đông,
Điện Biên,102,Mường Ảng,
Điện Biên,103,Nậm Pồ,
Lai Châu,105,Lai Châu,
Lai Châu,106,Tam Đường,
