Province,District,Ward Code,Ward
Hà Nội,Ba Đình,1,Phúc Xá
Hà Nội,Ba Đình,4,Trúc Bạch
Hà Nội,Ba Đình,6,Vĩnh Phúc
Hà Nội,Ba Đình,7,Cống Vị
Hà Nội,Ba Đình,8,Liễu Giai
Hà Nội,Ba Đình,10,Nguyễn Trung Trực
Hà Nội,Ba Đình,13,Quán Thánh
Hà Nội,Ba Đình,16,Ngọc Hà
Hà Nội,Ba Đình,19,Điện Biên
Hà Nội,Ba Đình,22,Đội Cấn
Hà Nội,Ba Đình,25,Ngọc Khánh
Hà Nội,Ba Đình,28,Kim Mã
Hà Nội,Ba Đình,31,Giảng Võ
Hà Nội,Ba Đình,34,Thành Công
Hà Nội,Hoàn Kiếm,37,Phúc Tân
Hà Nội,Hoàn Kiếm,40,Đồng Xuân
Hà Nội,Hoàn Kiếm,43,Hàng Mã
Hà Nội,Hoàn Kiếm,46,Hàng Buồm
Hà Nội,Hoàn Kiếm,49,Hàng Đào
Hà Nội,Hoàn Kiếm,52,Hàng Bồ
Hà Nội,Hoàn Kiếm,55,Cửa Đông
Hà Nội,Hoàn Kiếm,58,Lý Thái Tổ
Hà Nội,Hoàn Kiếm,61,Hàng Bạc
Hà Nội,Hoàn Kiếm,64,Hàng Gai
Hà Nội,Hoàn Kiếm,67,Chương Dương
Hà Nội,Hoàn Kiếm,70,Hàng Trống
Hà Nội,Hoàn Kiếm,73,Cửa Nam
Hà Nội,Hoàn Kiếm,76,Hàng Bông
Hà Nội,Hoàn Kiếm,79,Tràng Tiền
Hà Nội,Hoàn Kiếm,82,Trần Hưng Đạo
Hà Nội,Hoàn Kiếm,85,Phan Chu Trinh
Hà Nội,Hoàn Kiếm,88,Hàng Bài
Hà Nội,Tây Hồ,91,Phú Thượng
Hà Nội,Tây Hồ,94,Nhật Tân
Hà Nội,Tây Hồ,97,Tứ Liên
Hà Nội,Tây Hồ,100,Quảng An
Hà Nội,Tây Hồ,103,Xuân La
Hà Nội,Tây Hồ,106,Yên Phụ
Hà Nội,Tây Hồ,109,Bưởi
Hà Nội,Tây Hồ,112,Thụy Khuê
Hà Nội,Long Biên,115,Thượng Thanh
Hà Nội,Long Biên,118,Ngọc Thụy
Hà Nội,Long Biên,121,Giang Biên
Hà Nội,Long Biên,124,Đức Giang
Hà Nội,Long Biên,127,Việt Hưng
Hà Nội,Long Biên,130,Gia Thụy
Hà Nội,Long Biên,133,Ngọc Lâm
Hà Nội,Long Biên,136,Phúc Lợi
Hà Nội,Long Biên,139,Bồ Đề
Hà Nội,Long Biên,142,Sài Đồng
Hà Nội,Long Biên,145,Long Biên
Hà Nội,Long Biên,148,Thạch Bàn
Hà Nội,Long Biên,151,Phúc Đồng
Hà Nội,Long Biên,154,Cự Khối
Hà Nội,Cầu Giấy,157,Nghĩa Đô
Hà Nội,Cầu Giấy,160,Nghĩa Tân
Hà Nội,Cầu Giấy,163,Mai Dịch
Hà Nội,Cầu Giấy,166,Dịch Vọng
Hà Nội,Cầu Giấy,167,Dịch Vọng Hậu
Hà Nội,Cầu Giấy,169,Quan Hoa
Hà Nội,Cầu Giấy,172,Yên Hoà
Hà Nội,Cầu Giấy,175,Trung Hoà
Hà Nội,Đống Đa,178,Cát Linh
Hà Nội,Đống Đa,181,Văn Miếu
Hà Nội,Đống Đa,184,Quốc Tử Giám
Hà Nội,Đống Đa,187,Láng Thượng
Hà Nội,Đống Đa,190,Ô Chợ Dừa
Hà Nội,Đống Đa,193,Văn Chương
Hà Nội,Đống Đa,196,Hàng Bột
Hà Nội,Đống Đa,199,Láng Hạ
Hà Nội,Đống Đa,202,Khâm Thiên
Hà Nội,Đống Đa,205,Thổ Quan
Hà Nội,Đống Đa,208,Nam Đồng
Hà Nội,Đống Đa,211,Trung Phụng
Hà Nội,Đống Đa,214,Quang Trung
Hà Nội,Đống Đa,217,Trung Liệt
Hà Nội,Đống Đa,220,Phương Liên
Hà Nội,Đống Đa,223,Thịnh Quang
Hà Nội,Đống Đa,226,Trung Tự
Hà Nội,Đống Đa,229,Kim Liên
Hà Nội,Đống Đa,232,Phương Mai
Hà Nội,Đống Đa,235,Ngã Tư Sở
Hà Nội,Đống Đa,238,Khương Thượng
Hà Nội,Hai Bà Trưng,241,Nguyễn Du
Hà Nội,Hai Bà Trưng,244,Bạch Đằng
Hà Nội,Hai Bà Trưng,247,Phạm Đình Hổ
Hà Nội,Hai Bà Trưng,256,Lê Đại Hành
Hà Nội,Hai Bà Trưng,259,Đồng Nhân
Hà Nội,Hai Bà Trưng,262,Phố Huế
Hà Nội,Hai Bà Trưng,265,Đống Mác
Hà Nội,Hai Bà Trưng,268,Thanh Lương
Hà Nội,Hai Bà Trưng,271,Thanh Nhàn
Hà Nội,Hai Bà Trưng,274,Cầu Dền
Hà Nội,Hai Bà Trưng,277,Bách Khoa
Hà Nội,Hai Bà Trưng,280,Đồng Tâm
Hà Nội,Hai Bà Trưng,283,Vĩnh Tuy
Hà Nội,Hai Bà Trưng,286,Bạch Mai
Hà Nội,Hai Bà Trưng,289,Quỳnh Mai
Hà Nội,Hai Bà Trưng,292,Quỳnh Lôi
Hà Nội,Hai Bà Trưng,295,Minh Khai
Hà Nội,Hai Bà Trưng,298,Trương Định
